frequency,raw
14658.88,-9.42
14805.47,-9.68
14953.52,-10.05
15103.06,-10.26
15254.09,-10.37
15406.63,-10.45
15560.70,-10.51
15716.30,-10.65
15873.47,-10.98
16032.20,-11.54
16192.52,-12.03
16354.45,-12.69
16517.99,-13.16
16683.17,-12.96
16850.01,-12.33
17018.51,-11.62
17188.69,-11.43
17360.58,-11.50
17534.18,-11.68
17709.53,-11.82
17886.62,-11.90
18065.49,-11.99
18246.14,-12.30
18428.60,-13.07
18612.89,-14.23
18799.02,-15.51
18987.01,-16.33
19176.88,-16.49
19368.65,-16.46
19562.33,-16.26
19757.96,-16.07
19955.54,-15.89
