frequency,raw
15406.63,-3.99
15560.70,-4.63
15716.30,-5.38
15873.47,-6.38
16032.20,-7.35
16192.52,-8.27
16354.45,-10.07
16517.99,-11.66
16683.17,-12.52
16850.01,-13.93
17018.51,-15.51
17188.69,-16.01
17360.58,-15.48
17534.18,-14.43
17709.53,-13.47
17886.62,-12.42
18065.49,-10.35
18246.14,-7.45
18428.60,-6.75
18612.89,-6.65
18799.02,-6.90
18987.01,-8.36
19176.88,-9.27
19368.65,-10.25
19562.33,-11.28
19757.96,-12.25
19955.54,-13.56
